predicted_lat,predicted_lon,actual_lat,actual_lon,round_score_points, distance_meters, map, round
-33.0,-71.0,-29.318944931030273,27.51987648010254,12,8994377.428019756,world,1
40.0,-74.0,40.4199104309082,-80.53836059570312,3442,557053.7475179653,world,1
25.0,56.0,23.8162784576416,90.37266540527344,487,3473683.429916388,world,2
41.0,-96.0,29.683128356933594,-98.95930480957031,2111,1286457.1401832337,world,3
-26.0,27.0,-25.82539939880371,28.734600067138672,4448,174568.467119157,world,4
39.0,-85.0,36.09368133544922,-78.11785888671875,3154,687158.9108803667,world,5
41.0,29.0,41.12342834472656,29.00198745727539,4954,13725.6172349243,world,1
22.0,115.0,13.215773582458496,77.65959167480469,328,4064863.296735351,world,2
40.0,-105.0,32.51401138305664,-94.81742095947266,2186,1233945.8784679216,world,3
49.0,16.0,36.486385345458984,138.51698303222656,12,8949994.863858756,world,4
34.0,136.0,40.40311813354492,-104.68926239013672,8,9667235.480878832,world,5
44.0,-91.0,45.1899528503418,-88.75226593017578,4309,221758.8428522565,world,1
