geo_code,geo_lat,geo_lon
0,-0.703125,-51.328125
1,-0.703125,108.984375
2,-0.703125,-78.046875
3,-0.703125,37.265625
4,-0.703125,34.453125
5,-0.703125,30.234375
6,-0.703125,35.859375
7,-0.703125,-79.453125
8,-0.703125,120.234375
9,-0.703125,110.390625
10,-0.703125,101.953125
11,-0.703125,100.546875
12,-0.703125,-76.640625
13,-0.703125,111.796875
14,-0.703125,38.671875
15,-0.703125,-80.859375
16,-0.703125,103.359375
17,-0.703125,117.421875
18,-0.703125,40.078125
19,-0.703125,-90.703125
20,-0.703125,116.015625
21,-0.703125,123.046875
22,-0.703125,31.640625
23,-0.703125,-47.109375
24,-0.703125,-48.515625
25,-0.703125,-89.296875
26,-0.703125,114.609375
27,-0.703125,118.828125
28,-0.703125,-45.703125
29,-2.109375,-48.515625
30,-2.109375,37.265625
31,-2.109375,-79.453125
32,-2.109375,101.953125
33,-2.109375,34.453125
34,-2.109375,35.859375
35,-2.109375,-78.046875
36,-2.109375,121.640625
37,-2.109375,-80.859375
38,-2.109375,103.359375
39,-2.109375,38.671875
40,-2.109375,106.171875
41,-2.109375,-47.109375
42,-2.109375,123.046875
43,-2.109375,114.609375
44,-2.109375,100.546875
45,-2.109375,-45.703125
46,-2.109375,-44.296875
47,-2.109375,116.015625
48,-2.109375,113.203125
49,-2.109375,-59.765625
50,-10.546875,-68.203125
51,-10.546875,-78.046875
52,-10.546875,-35.859375
53,-10.546875,-37.265625
54,-10.546875,-66.796875
55,-10.546875,124.453125
56,-10.546875,-38.671875
57,-10.546875,-48.515625
58,-10.546875,-40.078125
59,-10.546875,-62.578125
60,-10.546875,-75.234375
61,-10.546875,123.046875
62,-10.546875,-41.484375
63,-10.546875,-76.640625
64,-10.546875,-55.546875
65,-10.546875,-63.984375
66,-10.546875,-47.109375
67,-10.546875,-65.390625
68,-10.546875,106.171875
69,-10.546875,-45.703125
70,-10.546875,-44.296875
71,-10.546875,-42.890625
72,-10.546875,-69.609375
73,-11.953125,-55.546875
74,-11.953125,-37.265625
75,-11.953125,-38.671875
76,-11.953125,-48.515625
77,-11.953125,-41.484375
78,-11.953125,-40.078125
79,-11.953125,-58.359375
80,-11.953125,-62.578125
81,-11.953125,-73.828125
82,-11.953125,-49.921875
83,-11.953125,-61.171875
84,-11.953125,-75.234375
85,-11.953125,-42.890625
86,-11.953125,-76.640625
87,-11.953125,-78.046875
88,-11.953125,-45.703125
89,-11.953125,-47.109375
90,-11.953125,96.328125
91,-11.953125,-44.296875
92,-11.953125,131.484375
93,-11.953125,130.078125
94,-11.953125,-69.609375
95,-11.953125,132.890625
96,-13.359375,-40.078125
97,-13.359375,-38.671875
98,-13.359375,-41.484375
99,-13.359375,131.484375
